,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
7470,24593,1899.0,37.8,66019.0,23147.0,505.0
7471,24594,1588.0,34.9,28125.0,15758.0,638.0
7472,24595,587.0,20.3,-666666666.0,5730.0,0.0
7473,24597,1176.0,44.5,32153.0,22499.0,139.0
7474,24598,1804.0,46.8,41563.0,22089.0,258.0
7475,24599,806.0,46.9,30192.0,17415.0,119.0
7476,24601,65.0,65.3,28906.0,15100.0,0.0
7477,24602,1229.0,38.3,33889.0,16383.0,474.0
7478,24603,939.0,50.9,27889.0,17454.0,238.0
7479,24604,496.0,37.8,23698.0,10406.0,156.0
7480,24605,8924.0,44.9,40651.0,27198.0,1143.0
7481,24606,128.0,44.2,17500.0,14632.0,18.0
7482,24607,469.0,44.4,22222.0,11739.0,188.0
7483,24609,6819.0,43.3,34924.0,21367.0,981.0
7484,24612,180.0,48.6,21458.0,11265.0,60.0
7485,24613,319.0,58.8,-666666666.0,27782.0,36.0
7486,24614,7434.0,43.6,33140.0,19773.0,1609.0
7487,24620,3064.0,45.6,21125.0,15440.0,1223.0
7488,24622,840.0,50.3,24697.0,22744.0,190.0
7489,24628,386.0,44.0,-666666666.0,19918.0,106.0
7490,24630,6933.0,42.6,36022.0,21768.0,1396.0
7491,24631,2416.0,43.9,32857.0,17543.0,238.0
7492,24634,622.0,48.4,38214.0,18547.0,30.0
7493,24635,1340.0,41.9,31429.0,9910.0,83.0
7494,24637,4024.0,45.5,50845.0,27662.0,525.0
7495,24639,2960.0,43.2,30301.0,18787.0,684.0
7496,24641,5756.0,41.4,32609.0,19992.0,1225.0
7497,24646,762.0,47.2,41719.0,17523.0,17.0
7498,24649,3036.0,49.3,35463.0,22369.0,627.0
7499,24651,6217.0,44.5,44146.0,30924.0,930.0
7500,24656,3071.0,51.0,31192.0,19588.0,678.0
7501,24657,399.0,49.0,40625.0,22343.0,47.0
7502,24701,20837.0,42.7,33548.0,19392.0,4968.0
7503,24712,1917.0,24.0,40195.0,16971.0,366.0
7504,24714,177.0,35.5,17107.0,14645.0,26.0
7505,24715,460.0,50.1,28125.0,16718.0,126.0
7506,24716,497.0,54.3,46917.0,24755.0,100.0
7507,24719,158.0,24.2,-666666666.0,6459.0,120.0
7508,24724,61.0,38.8,46250.0,15984.0,12.0
7509,24726,433.0,42.4,53984.0,25103.0,82.0
7510,24729,202.0,48.4,24554.0,17171.0,41.0
7511,24731,272.0,58.3,42167.0,15931.0,68.0
7512,24733,804.0,30.1,44464.0,19487.0,194.0
7513,24736,481.0,44.5,27083.0,14765.0,99.0
7514,24737,95.0,35.3,-666666666.0,18855.0,0.0
7515,24738,194.0,70.4,35804.0,22387.0,0.0
7516,24740,30988.0,43.3,40692.0,23442.0,5692.0
7517,24747,2796.0,39.0,32207.0,17320.0,698.0
7518,24801,4813.0,36.1,27083.0,12354.0,1329.0
7519,24808,615.0,48.2,30893.0,18612.0,153.0
7520,24811,611.0,48.0,28229.0,23425.0,149.0
7521,24813,347.0,47.7,23158.0,11914.0,112.0
7522,24815,829.0,34.5,26009.0,12287.0,499.0
7523,24816,220.0,68.5,35840.0,19915.0,14.0
7524,24817,799.0,36.9,19076.0,11751.0,395.0
7525,24818,778.0,47.9,18155.0,12357.0,259.0
7526,24822,735.0,36.0,40972.0,18796.0,161.0
7527,24823,431.0,30.2,34141.0,12562.0,18.0
7528,24826,85.0,55.1,25000.0,28889.0,29.0
7529,24827,1440.0,42.3,53583.0,18877.0,169.0
7530,24828,814.0,43.9,18750.0,10048.0,361.0
7531,24830,105.0,52.8,-666666666.0,21572.0,20.0
7532,24831,119.0,60.3,22308.0,17497.0,41.0
7533,24834,427.0,45.3,40650.0,12509.0,114.0
7534,24836,564.0,52.7,31528.0,16296.0,74.0
7535,24839,1397.0,43.7,34866.0,21618.0,344.0
7536,24843,114.0,61.2,-666666666.0,17739.0,50.0
7537,24844,1546.0,54.1,21719.0,16961.0,462.0
7538,24845,517.0,39.0,-666666666.0,27257.0,83.0
7539,24846,105.0,59.1,10000.0,9224.0,77.0
7540,24847,366.0,28.4,-666666666.0,10328.0,155.0
7541,24848,179.0,44.2,-666666666.0,19041.0,34.0
7542,24849,359.0,32.1,-666666666.0,23523.0,0.0
7543,24850,861.0,44.8,23750.0,12411.0,348.0
7544,24851,413.0,47.9,28029.0,15403.0,55.0
7545,24853,485.0,55.1,39208.0,24726.0,106.0
7546,24854,344.0,25.4,-666666666.0,20474.0,67.0
7547,24857,936.0,56.9,44911.0,26103.0,102.0
7548,24860,306.0,59.8,21451.0,12802.0,90.0
7549,24861,185.0,52.0,41250.0,15199.0,58.0
7550,24862,462.0,57.5,19844.0,11965.0,118.0
7551,24866,231.0,40.1,25156.0,13155.0,105.0
7552,24867,329.0,69.6,21843.0,19555.0,0.0
7553,24868,1095.0,49.5,33011.0,15454.0,385.0
7554,24869,402.0,20.7,21086.0,9019.0,97.0
7555,24870,2828.0,42.5,32095.0,20623.0,659.0
7556,24871,244.0,64.4,26786.0,14300.0,73.0
7557,24872,725.0,42.0,17209.0,9659.0,428.0
7558,24873,315.0,41.2,31339.0,38448.0,12.0
7559,24874,2847.0,50.1,44404.0,21460.0,353.0
7560,24878,524.0,47.5,24432.0,8148.0,196.0
7561,24879,614.0,42.2,19620.0,9789.0,355.0
7562,24880,421.0,37.7,24688.0,9014.0,215.0
7563,24881,400.0,42.4,31875.0,15728.0,132.0
7564,24882,443.0,39.7,28824.0,11293.0,118.0
7565,24884,347.0,35.9,38929.0,10605.0,119.0
7566,24887,13.0,-666666666.0,-666666666.0,,0.0
7567,24888,103.0,57.8,24500.0,24525.0,20.0
7568,24892,1763.0,30.5,25848.0,12637.0,890.0
7569,24894,323.0,55.8,24211.0,10959.0,77.0
7570,24898,85.0,29.2,-666666666.0,28808.0,22.0
7571,24901,9200.0,44.2,46566.0,29282.0,1522.0
7572,24910,5408.0,43.2,36845.0,18594.0,907.0
7573,24915,606.0,50.5,31806.0,25625.0,67.0
7574,24916,747.0,45.3,51364.0,20047.0,120.0
7575,24918,1850.0,43.1,49167.0,18903.0,239.0
7576,24920,268.0,47.3,21319.0,20397.0,76.0
7577,24924,362.0,43.5,46750.0,19751.0,0.0
7578,24925,604.0,48.5,60112.0,34648.0,59.0
7579,24927,190.0,57.4,22112.0,19361.0,49.0
7580,24931,1341.0,46.6,36111.0,20373.0,464.0
7581,24934,380.0,53.4,32361.0,40392.0,66.0
7582,24935,566.0,60.3,40400.0,21511.0,15.0
7583,24938,1607.0,44.4,46694.0,24354.0,94.0
7584,24941,1242.0,46.1,41250.0,17666.0,300.0
7585,24944,479.0,37.7,50385.0,17652.0,155.0
7586,24945,444.0,66.1,-666666666.0,28319.0,27.0
7587,24946,1552.0,50.1,41758.0,21900.0,110.0
7588,24951,1636.0,38.2,33920.0,19384.0,394.0
7589,24954,3800.0,48.8,32963.0,21373.0,859.0
7590,24957,266.0,47.4,104000.0,52303.0,0.0
7591,24962,109.0,50.4,-666666666.0,15433.0,33.0
7592,24963,4150.0,43.6,35731.0,20057.0,803.0
7593,24966,1591.0,48.9,31803.0,17156.0,256.0
7594,24970,4595.0,38.9,37578.0,25546.0,876.0
7595,24974,240.0,58.2,40478.0,33177.0,18.0
7596,24976,929.0,51.3,36250.0,24750.0,142.0
7597,24977,661.0,52.3,42604.0,16592.0,242.0
7598,24981,554.0,58.5,36453.0,30096.0,55.0
7599,24983,2038.0,53.0,33716.0,22317.0,201.0
7600,24984,303.0,55.4,33672.0,18171.0,30.0
7601,24986,5515.0,47.3,38716.0,19572.0,1021.0
7602,24991,693.0,43.9,56875.0,25028.0,44.0
7603,25002,15.0,-666666666.0,-666666666.0,,0.0
